id,name,country,date,clouds,humidity,lat,lon,temp_max,wind_speed
3119841,A Coruna,ES,1551891005,40,81,43.37,-8.4,55.99,19.46
3402648,Carutapera,BR,1551891146,76,92,-1.2,-46.02,80.63,4.32
3874453,Piopio,CL,1551888000,90,88,-42.79,-73.57,64.4,11.41
2995603,Saint-Pierre,FR,1551890824,0,81,48.95,4.24,53.6,17.22
780687,Berlevag,NO,1551887400,40,45,70.86,29.09,23.0,21.92
1637001,Luwuk,ID,1551891146,64,100,-0.95,122.79,77.12,2.08
3836669,San Rafael,AR,1551891148,0,24,-34.61,-68.33,90.94,7.67
3416888,Grindavik,IS,1551890358,75,74,63.84,-22.43,34.0,18.34
1731298,Aloleng,PH,1551891148,8,91,16.13,119.78,78.65,11.03
3372760,Praia da Vitoria,PT,1551890719,75,72,38.73,-27.07,64.4,26.24
6138908,Saint-Philippe,CA,1551891023,1,33,45.36,-73.48,17.01,3.36
5983720,Iqaluit,CA,1551890572,20,68,63.75,-68.52,-14.01,14.99
2139259,Ouegoa,NC,1551891148,0,93,-20.34,164.44,75.64,6.44
876177,Luau,CD,1551891149,20,77,-10.7,22.23,74.06,2.19
338832,Dire Dawa,ET,1551891149,0,91,9.59,41.86,58.36,1.52
654901,Kajaani,FI,1551887400,40,62,64.22,27.73,21.2,14.99
3947019,Ayacucho,PE,1551888000,75,87,-13.16,-74.23,57.2,2.24
2338660,Yaan,NG,1551891150,24,48,7.38,8.57,90.71,5.66
5924351,Clyde River,CA,1551888000,75,77,70.47,-68.59,-2.21,8.05
2312888,Mbanza-Ngungu,CD,1551891151,24,64,-5.25,14.87,81.22,4.88
3430340,Obera,AR,1551891151,8,82,-27.49,-55.12,80.0,2.98
1490256,Talnakh,RU,1551891152,56,70,69.49,88.39,1.07,13.82
4273299,Hutchinson,US,1551891136,1,58,38.06,-97.93,32.0,17.22
2145214,Victoria Point,AU,1551891067,0,88,-27.58,153.3,75.99,8.05
3144987,Beisfjord,NO,1551890866,90,79,68.38,17.6,28.4,18.34
2426370,Oum Hadjer,TD,1551891153,20,47,13.3,19.7,87.79,2.19
3466165,Cidreira,BR,1551891153,92,76,-30.17,-50.22,83.47,10.13
1733782,Victoria,BN,1551888000,75,88,5.28,115.24,80.6,1.12
3695844,Lagunas,PE,1551891153,24,61,-5.23,-75.68,91.97,3.09
1651810,Airai,TL,1551891071,68,89,-8.93,125.41,70.24,1.19
1258639,Ramnagar,IN,1551891154,0,52,27.17,84.33,61.28,6.89
3662489,Santa Isabel do Rio Negro,BR,1551891154,12,59,-0.41,-65.02,90.17,7.34
3929607,San Jeronimo,PE,1551888000,75,76,-13.65,-73.37,48.2,9.17
2156643,Mount Gambier,AU,1551888000,0,87,-37.83,140.78,42.8,3.76
2093967,Kimbe,PG,1551891154,48,100,-5.56,150.15,79.19,4.32
5847411,Kahului,US,1551891032,75,77,20.89,-156.47,68.0,12.75
2167426,Emerald,AU,1551891036,0,69,-23.53,148.16,80.6,5.82
2120047,Ust-Omchug,RU,1551891155,20,28,61.13,149.63,-21.52,2.53
3374210,Sao Filipe,CV,1551891155,0,89,14.9,-24.5,72.53,20.54
6255012,Flinders,AU,1551891124,75,58,-34.58,150.85,64.0,6.93
1641899,Labuhan,ID,1551891012,88,94,-2.54,115.51,72.31,1.74
2136825,Isangel,VU,1551891156,92,100,-19.55,169.27,81.8,12.37
1627877,Sembakung,ID,1551891049,92,100,3.82,117.25,73.88,1.07
3386213,Touros,BR,1551888000,75,70,-5.2,-35.46,86.0,10.29
5972291,Havre-Saint-Pierre,CA,1551888000,20,46,50.23,-63.6,10.4,12.75
1493155,Samagaltay,RU,1551891157,44,66,50.6,95.0,5.12,2.53
3526662,Teya,MX,1551888925,75,69,21.05,-89.07,80.01,16.11
2030065,Mandalgovi,MN,1551891157,0,70,45.76,106.27,18.89,9.91
3450083,Santa Maria,BR,1551888000,40,66,-29.69,-53.81,86.0,8.05
1070940,Fenoarivo,MG,1551889800,75,82,-18.93,47.44,68.0,8.05
1835848,Seoul,KR,1551889200,20,86,37.57,126.98,42.8,1.12
2157698,Mildura,AU,1551890727,0,37,-34.18,142.16,53.6,8.05
3448903,Sao Joao da Barra,BR,1551888000,20,52,-21.64,-41.05,89.6,13.87
103630,Najran,SA,1551888000,5,27,17.54,44.22,73.4,4.7
2013918,Ust-Maya,RU,1551891159,88,77,60.42,134.54,-4.42,3.09
1682474,Ternate,PH,1551890884,20,69,14.29,120.72,80.6,6.93
2288105,Grand-Lahou,CI,1551891159,36,59,5.24,-5.0,88.24,8.01
2281120,Tabou,CI,1551890949,12,94,4.42,-7.36,84.77,13.04
2032614,Baruun-Urt,MN,1551891076,0,59,46.68,113.28,24.16,15.05
966166,Parys,ZA,1551891160,56,91,-26.9,27.46,61.82,4.21
3390864,Acari,BR,1551891160,20,42,-6.44,-36.64,89.36,12.59
57000,Hobyo,SO,1551891160,36,91,5.35,48.53,78.2,13.27
2093846,Kiunga,PG,1551891160,44,94,-6.12,141.3,71.99,2.08
520798,Nizhniy Baskunchak,RU,1551891160,44,81,48.22,46.83,40.58,7.9
60019,Eyl,SO,1551891161,0,95,7.98,49.82,77.03,13.82
3025892,Chaumont,FR,1551890744,92,62,48.11,5.14,55.0,11.41
1040938,Manjacaze,MZ,1551891161,0,67,-24.71,33.88,80.09,12.26
1861416,Ishigaki,JP,1551891161,80,100,24.34,124.16,67.36,20.54
328716,Shakiso,ET,1551891162,8,39,5.77,38.9,67.54,4.54
107304,Buraydah,SA,1551888000,20,45,26.33,43.97,64.4,5.82
523392,Naryan-Mar,RU,1551891162,0,58,67.67,53.09,1.43,11.25
2240449,Luanda,AO,1551888000,20,66,-8.83,13.24,87.8,11.41
2757220,Den Helder,NL,1551891090,90,93,52.96,4.76,52.0,18.34
1250161,Batticaloa,LK,1551890957,0,100,7.71,81.69,80.27,8.79
1797543,Tianpeng,CN,1551891163,92,96,28.88,112.34,47.78,3.31
2027042,Batagay-Alyta,RU,1551891134,80,75,67.8,130.41,-9.24,2.98
1214488,Meulaboh,ID,1551891163,8,100,4.14,96.13,80.59,2.86
3602769,Rio Esteban,HN,1551888000,40,69,15.83,-86.3,84.2,11.41
72181,Marzuq,YE,1551891164,12,66,14.4,46.47,67.4,2.86
2162737,Ingham,AU,1551891146,100,100,-18.65,146.16,74.78,3.65
2137748,Voh,NC,1551891164,12,95,-20.95,164.69,78.07,11.03
1634614,Nabire,ID,1551891164,68,95,-3.36,135.5,68.21,1.97
2509835,Valverde del Camino,ES,1551890942,48,55,37.57,-6.75,62.01,5.99
3698359,Chicama,PE,1551888000,75,83,-7.84,-79.15,75.2,11.41
1736458,Kudat,MY,1551888000,75,88,6.89,116.84,80.6,3.36
1817240,Baiyin,CN,1551888000,90,51,36.55,104.13,39.2,6.71
3449747,Santa Vitoria do Palmar,BR,1551891032,0,69,-33.52,-53.37,87.61,12.82
3418910,Upernavik,GL,1551891124,12,100,72.79,-56.15,7.91,16.06
5393052,Santa Cruz,US,1551891167,90,93,36.97,-122.03,57.0,8.05
5380420,Pacifica,US,1551891166,75,87,37.61,-122.49,57.2,5.82
2057087,Kupang,ID,1551891169,36,100,-10.16,123.6,79.1,5.66
2337542,Naze,NG,1551888000,75,94,5.43,7.07,75.2,2.24
962367,Richards Bay,ZA,1551891170,0,74,-28.77,32.06,80.09,11.25
1106677,Bambous Virieux,MU,1551890944,40,74,-20.34,57.76,80.6,4.7
482761,Tirlyanskiy,RU,1551891170,36,89,54.22,58.58,30.32,13.6
2514651,Los Llanos de Aridane,ES,1551890826,75,63,28.66,-17.92,66.2,18.34
3167520,Santa Marinella,IT,1551891047,20,42,42.04,11.87,64.4,19.08
3190586,Paka,HR,1551888000,0,41,45.29,18.06,59.0,6.93
457714,Madona,LV,1551891171,0,76,56.85,26.22,17.72,5.21
1337607,Kudahuvadhoo,MV,1551891171,76,100,2.67,72.89,83.06,9.46
1489401,Toora-Khem,RU,1551891172,68,77,52.47,96.11,12.68,4.21
6539761,Rome,IT,1551890884,0,67,41.89,12.48,62.6,13.87
2654675,Bristol,GB,1551890896,75,81,51.45,-2.6,54.0,16.11
3348078,Kuito,AO,1551888000,75,94,-12.38,16.94,73.4,6.93
3692020,Saquena,PE,1551891173,44,72,-4.67,-73.52,88.55,3.98
2038446,Baoqing,CN,1551891173,0,68,46.32,132.2,13.4,4.99
1261711,Nathdwara,IN,1551891173,0,63,24.93,73.82,52.42,1.3
2068655,Katherine,AU,1551888000,0,78,-14.47,132.26,77.0,9.46
2965402,Clonakilty,IE,1551891052,40,70,51.62,-8.87,48.0,23.04
5293083,Douglas,US,1551891160,0,22,31.34,-109.55,70.0,8.68
4969398,Lewiston,US,1551891135,75,40,44.1,-70.21,23.0,16.11
2619537,Hvide Sande,DK,1551891077,75,100,56.01,8.13,45.0,14.99
1049261,Chimoio,MZ,1551888000,75,100,-19.11,33.48,68.0,16.11
2181625,Te Anau,NZ,1551891135,56,60,-45.41,167.72,59.93,16.84
2123688,Lososina,RU,1551891175,0,83,49.0,140.31,12.68,7.11
1498402,Mortka,RU,1551891140,92,89,59.33,66.02,31.72,10.58
2122614,Okha,RU,1551891176,36,72,53.59,142.95,-6.31,2.98
1486910,Komsomolskiy,RU,1551891010,76,77,67.55,63.78,6.07,8.79
